"Probe Number","Probe Name","OS","Media","Test start time","Test duration","Connection start time","Connection duration","callSetupTime","score","sessionNumber","inSessionIdx","networking","firewall","browser","location","status","URL","reason","audioBitrate_In","audioBitrate_Out","audioBitrate_In_Max","audioBitrate_In_Min","audioBitrate_Out_Max","audioBitrate_Out_Min","audioPackets_In","audioPacketsLoss_In","audioPacketsLossPercent_In","audioPackets_Out","audioPacketsLoss_Out","audioPacketsLossPercent_Out","audioJitter_In","audioJitter_In_Max","audioJitter_Out","audioJitter_Out_Max","audioRoundtrip","audioRoundtrip_Max","videoBitrate_In","videoBitrate_Out","videoBitrate_In_Max","videoBitrate_In_Min","videoBitrate_Out_Max","videoBitrate_Out_Min","videoPackets_In","videoPacketsLoss_In","videoPacketsLossPercent_In","videoPackets_Out","videoPacketsLoss_Out","videoPacketsLossPercent_Out","videoJitter_In","videoJitter_In_Max","videoJitter_Out","videoJitter_Out_Max","videoRoundtrip","videoRoundtrip_Max"
"065","quixotic-meat-065","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.475Z","402.549","2021-03-23T18:58:33.030Z","177.591",77.36,5.3,33,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5c3","https:/www.staging.liviasaude.com.br/assetslv2/img/seta-next.svg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","111.00","57.60","76.05",0,"42.48","12.30",26343,"3.50","0.05 %",16954,73,"0.86 %","11.40",66,"7.84","15.33","19.62",57,"2798.39","1532.56","1383.89","192.24","1443.59","125.24",47702,0,"0 %",32406,0,"0 %","973.88","6743.75","7.57","30.59","19.98",99
"066","quixotic-meat-066","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.476Z","397.936","2021-03-23T18:59:45.836Z","104.489",3.94,5.2,33,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5c4","Error while running .navigateTo) protocol action: An unknown error has occurred.","56.09","27.28","126.29",0,"32.89","15.09",10224,4,"0.08 %",5022,59,"1.17 %","14.26",138,"7.36","14.44","24.27",45,"1529.86","638.51","1175.06","302.17","1372.95","194.60",19365,0,"0 %",8255,0,"0 %","1865.88","3369.00","8.76","31.87","22.31",225
"067","quixotic-meat-067","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.477Z","1022.005","No data","NaN",NaN,0,34,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","timeout","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5c5","Test timeout after 1020s",0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0
"068","quixotic-meat-068","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.478Z","627.439","No data","NaN",NaN,0,34,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5c6"," Timed out while waiting for element <#header > div.header-container > div.header-topo > a> to be present for 500000 milliseconds. - expected ""visible"" but got: ""not found"" (500470ms), waitForElementVisible ('#header > div.header-container > div.header-topo > a', 500000) (Line:196)",0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0
"069","quixotic-meat-069","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.478Z","396.579","2021-03-23T18:57:54.348Z","225.436",120.74,5.6,35,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5c7","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","85.73","56.99","33.80","14.20","54.29","9.41",20504,"0.67","0.01 %",20584,"86.50","0.84 %","9.48",23,"8.30","13.67","20.96",47,"2569.28","1475.45","1184.58","196.55","1439.31","113.65",43932,0,"0 %",38501,0,"0 %","218.18","329.00","7.43","26.91","21.19",61
"070","quixotic-meat-070","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.482Z","391.86","2021-03-23T18:59:40.114Z","119.176",4.35,5.5,35,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5c8","Error while running .navigateTo) protocol action: An unknown error has occurred.","55.28","27.69","34.32","16.90","33.17","16.48",11623,4,"0.07 %",5629,0,"0 %","12.69",23,"6.88","13.29","17.16",31,"1722.83","900.55","1495.30","284.77","1270.60","199.19",23938,0,"0 %",12472,1,"0.01 %","164.82","223.00","6.02","17.38","18.27",84
"071","quixotic-meat-071","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.482Z","398.229","2021-03-23T18:58:35.796Z","190.275",70.95,5.2,36,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5c9","https:/www.staging.liviasaude.com.br/assetslv2/img/img-consultas-desktop.jpg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","199.31","57.09","73.22",0,"44.55",10,49466,4,"0.06 %",16637,"55.50","0.67 %","12.96",59,"9.69","16.96","23.53",67,"4559.96","1557.39","1345.23","154.46","1423.75","84.41",81730,0,"0 %",32181,0,"0 %","1731.67","2820.55","8.25","46.28","28.55",193
"072","quixotic-meat-072","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.483Z","405.488","2021-03-23T18:59:34.617Z","129.85",6.9,5.2,36,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5ca","Error while running .navigateTo) protocol action: An unknown error has occurred.","57.27","28.18","120.02",0,"34.72","15.91",12402,0,"0 %",6124,67,"1.09 %","13.61",111,"7.69","15.81","20.05",53,"1275.43","645.98","1402.21","209.23","1258.06","176.91",20339,0,"0 %",10081,0,"0 %","1500.57","2758.00","8.94","32.41","20.71",65
"073","quixotic-meat-073","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.484Z","411.336","2021-03-23T18:57:56.729Z","219.07",112.25,5.4,37,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5cb","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","197.77","58.43","79.55",0,"197.21","16.82",50278,23,"0.32 %",19331,"32.50","0.34 %","19.77",70,"16.64","32.33","54.21",217,"5152.00","1337.52","1429.38","308.95","2307.59","75.34",92963,0,"0 %",32197,0,"0 %","1173.26","1911.07","17.24","70.98","43.42",222
"074","quixotic-meat-074","Linux","VOA-VGA (480x640)","2021-03-23T18:55:51.485Z","395.673","2021-03-23T18:59:37.955Z","116.483",3.87,5.1,37,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5cc","Error while running .navigateTo) protocol action: An unknown error has occurred.","54.14","29.36","348.05",0,"41.13","17.38",10523,37,"0.70 %",5606,51,"0.91 %","28.46",341,"8.53","14.06","19.01",52,"1023.87","768.44","998.31",54,"1389.38","114.89",14091,0,"0 %",10850,0,"0 %","818.82","1404.00","7.55","26.01","20.49",133
"075","quixotic-meat-075","Linux","VOA-VGA04 (480x640)","2021-03-23T18:55:51.485Z","416.419","2021-03-23T18:58:37.810Z","186.197",76.99,5.1,38,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a39b7b59bdd00110dc5cd","https:/www.staging.liviasaude.com.br/assetslv2/img/img-consultas-desktop.jpg - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","199.46","57.49","74.41",0,"131.75","12.68",47813,"14.43","0.21 %",16895,67,"0.79 %","16.50",28,"13.10",24,"44.03",225,"4886.41","1297.53","1173.28","199.99","1611.12","96.65",82530,0,"0 %",26864,0,"0 %","1156.73","1766.70","12.42",32,"36.88",163
