"Probe Number","Probe Name","OS","Media","Test start time","Test duration","Connection start time","Connection duration","callSetupTime","score","sessionNumber","inSessionIdx","networking","firewall","browser","location","status","URL","reason","audioBitrate_In","audioBitrate_Out","audioBitrate_In_Max","audioBitrate_In_Min","audioBitrate_Out_Max","audioBitrate_Out_Min","audioPackets_In","audioPacketsLoss_In","audioPacketsLossPercent_In","audioPackets_Out","audioPacketsLoss_Out","audioPacketsLossPercent_Out","audioJitter_In","audioJitter_In_Max","audioJitter_Out","audioJitter_Out_Max","audioRoundtrip","audioRoundtrip_Max","videoBitrate_In","videoBitrate_Out","videoBitrate_In_Max","videoBitrate_In_Min","videoBitrate_Out_Max","videoBitrate_Out_Min","videoPackets_In","videoPacketsLoss_In","videoPacketsLossPercent_In","videoPackets_Out","videoPacketsLoss_Out","videoPacketsLossPercent_Out","videoJitter_In","videoJitter_In_Max","videoJitter_Out","videoJitter_Out_Max","videoRoundtrip","videoRoundtrip_Max"
"070","sad-stone-070","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.561Z","381.017","2021-03-23T20:12:45.867Z","102.502",3.23,5.7,35,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c538","Error while running .navigateTo) protocol action: An unknown error has occurred.","29.88","28.04","46.51","3.81","33.16","14.34",5033,0,"0 %",5018,28,"0.56 %","10.43",53,"7.79","11.79",32,180,"678.60","886.36","1082.47","116.49","1233.06","246.54",8511,0,"0 %",10880,20,"0.18 %","377.86","1022.00","5.72","13.92","26.02",309
"071","sad-stone-071","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.562Z","1022.009","No data","NaN",NaN,0,36,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","timeout","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c539","Error while running .navigateTo) protocol action: An unknown error has occurred.",0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0
"072","sad-stone-072","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.562Z","637.045","No data","NaN",NaN,0,36,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c53a"," Timed out while waiting for element <#header > div.header-container > div.header-topo > a> to be present for 500000 milliseconds. - expected ""visible"" but got: ""not found"" (500155ms), waitForElementVisible ('#header > div.header-container > div.header-topo > a', 500000) (Line:196)",0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 %",0,0,"0 %",0,0,0,0,0,0
"073","sad-stone-073","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.563Z","383.007","2021-03-23T20:12:00.883Z","203.624",48.72,6,37,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c53b","https:/www.staging.liviasaude.com.br/assetslv2/js/scripts.min.js - Failed to load resource: the server responded with a status of 502 (Bad Gateway)","58.90","59.18","114.33",0,"34.65","11.75",17210,0,"0 %",17040,"32.50","0.38 %","12.69",198,"6.98","25.19","23.79",287,"1558.64","1706.59","1368.04","164.33","1604.25","212.62",33309,0,"0 %",35778,0,"0 %","629.40","1277.57","5.77","26.01","25.58",360
"074","sad-stone-074","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.564Z","389.108","2021-03-23T20:12:45.765Z","162.552",3.91,5.7,37,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c53c","Error while running .navigateTo) protocol action: An unknown error has occurred.","57.51","28.62","126.02",0,"33.04","12.70",15819,0,"0 %",7826,41,"0.52 %","10.96",66,"8.55","17.67","24.48",60,"1689.45","776.09","1440.25",0,"1378.87","158.05",33136,0,"0 %",15296,0,"0 %","943.61","2091.50","8.14","40.41","30.06",545
"075","sad-stone-075","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.565Z","411.01","2021-03-23T20:12:58.366Z","175.769",32.53,5.9,38,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c53d","Error while running .navigateTo) protocol action: An unknown error has occurred.","116.82","59.94","123.92",0,"33.14","18.45",26500,0,"0 %",13756,27,"0.39 %","8.50",66,"5.73","19.77","17.71",36,"3031.01","1595.29","1162.09",0,"1068.99","171.75",50066,0,"0 %",27691,"0.50","0.00 %","63.27","102.61","6.09","33.27","20.69",141
"076","sad-stone-076","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.566Z","409.244","2021-03-23T20:13:18.793Z","152.982",12.29,5.9,38,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c53e","Error while running .navigateTo) protocol action: An unknown error has occurred.","60.23","29.12","40.40","19.08","34.41","17.88",14227,0,"0 %",7055,54,"0.77 %","7.24",35,"7.40","46.29","27.79",161,"1784.24","708.71","1300.14","248.81","1163.92","94.99",30673,0,"0 %",12792,161,"1.26 %","108.37","202.00","8.95","112.76","25.98",542
"077","sad-stone-077","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.569Z","398.516","2021-03-23T20:11:09.201Z","216.003",122.68,5.7,39,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c53f","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","87.07","29.64","63.59","8.99",53,"8.15",24094,2,"0.02 %",10529,24,"0.23 %","11.80",37,"8.98","31.08",24,161,"2320.73","874.72","1244.82","143.70","1973.25","228.13",47391,0,"0 %",22592,0,"0 %","166.13","475.38","6.50","30.53","24.74",202
"078","sad-stone-078","Linux","VOA-VGA (480x640)","2021-03-23T20:09:10.570Z","392.274","2021-03-23T20:13:00.321Z","102.504",8,5.4,39,2,"No throttling","No Firewall","chrome:88.0.4324.96","East US","failure","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c540","Error while running .navigateTo) protocol action: An unknown error has occurred.","26.39","28.93","86.32",0,"33.34","18.59",4709,0,"0 %",4752,24,"0.51 %","13.60",56,"8.73","29.75","33.23",150,"781.46","718.74","1206.12",0,"1175.41","138.17",9616,0,"0 %",8667,2,"0.02 %","466.50","1349.00","8.11","36.72","27.45",251
"079","sad-stone-079","Linux","VOA-VGA04 (480x640)","2021-03-23T20:09:10.573Z","399.558","2021-03-23T20:11:19.394Z","207.462",121.52,5.8,40,1,"No throttling","No Firewall","chrome:88.0.4324.96","East US","completed","app.testrtc.com/app/testIteration/605a4ae6c534700012d0c541","https:/www.staging.liviasaude.com.br/vendors~main-bdd68c069090be26c58d.js 1:938443 Uncaught TypeError: Cannot read property 'addEventListener' of null","59.85","29.63","68.13","7.68","59.55","5.08",12654,0,"0 %",10087,7,"0.07 %","11.46",43,"8.75","30.44","24.35",153,"1578.67","826.49","1946.59","116.47","2169.29","213.41",24764,0,"0 %",20494,0,"0 %","335.69","730.00","6.80","19.57","22.78",219
